version,kind,original_archive,sha256,bytes
v45,code,phase1_trust_experiment_v45_freshness_lease.zip,3ca76c3ca9629819a6665103d6b0484fb37d812fd0228c26a047918a50819139,67254251
v45,formal_results,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,47acb8f0ec71a046c664fbb314f408b4326324c1ce9e8c947122c1edb49faf2f,7423941
v48,code,phase1_trust_experiment_v48_cifar10_precision_extension.zip,a7dcc5c547457e1f0abf589659045b696a6ad6969f18a183b871ee85b9af731c,45480891
v48,formal_results,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,8f9d292572be95222051a74dd7c176afabd9649dc523ffb16f000c67fb5797f1,8314431
v49,code,phase1_trust_experiment_v49_post_promotion.zip,7e7ed6d321e48bf5e20f37483b2faf407703e0c2958154e306edcbe9a6e317b7,45552544
v49,formal_results,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,2c46f25c71e7e6812d650bb467b4ae32e4332cf443a634808f506a9541a9e523,14471532
v50,code,phase1_trust_experiment_v50_weight_matched.zip,ff3b610b6d230a6511039782ab57697b12227d0a08768f792f2bdfd97d7b16eb,513389
v50,formal_results,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,a66d44fda0877d782abcade4e4418b27c86a5bdc5b88c33048e7fe4574af3f63,4695959
v51,code,phase1_trust_experiment_v51_q3_access.zip,477d6752936f1c333cf7d81283f46057cfc4f92a094faa562be0d234ee1028f5,538072
v51,formal_results,q3_access_v51_results-formal-20260924-174512.zip,398dd4b4b1c24ce65ebd25bb7f3983ee9b8c422694cbd27bc32453424573009a,36215131
