version,path,original_archive,original_member,original_csv_sha256,original_csv_bytes,released_file_bytes
v45,results/v45/freshness_lease_v45_paired_effects.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/freshness_lease_v45_paired_effects.csv,90c32858112b22ab3689c6eb40c6e4c926c4b1500080069c9ea9648189af9e0e,6529,6529
v45,results/v45/freshness_lease_v45_round_runs.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/freshness_lease_v45_round_runs.csv,df26363e348ca64bcfd49ded2725f873981298ff3dbd76a8688dd5f4ecf95c6d,251929,251929
v45,results/v45/freshness_lease_v45_round_summary.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/freshness_lease_v45_round_summary.csv,a7058699696287db5ce98fa8709eb036d5ffa9c493c0111d391f3d0f74043f3c,84297,84297
v45,results/v45/freshness_lease_v45_runs.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/freshness_lease_v45_runs.csv,c3b5a948f4122796da4c8ffce753cb5fab14edcb5b7957cd2e3f9d20b3813ae3,14306,14306
v45,results/v45/freshness_lease_v45_summary.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/freshness_lease_v45_summary.csv,4d1ea003b53bfd54565c3e7f8c134fddbe9d5435a1e160b73bd31acc197751ed,5605,5605
v45,results/v45/real_fl_configuration_metrics.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/real_fl_configuration_metrics.csv,9817d0eb4a1f2551c8948816e6b216e89279db54d88e4fcf7b81b91906685b97,5747,5747
v45,results/v45/real_fl_node_results.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/real_fl_node_results.csv,d984f2d0888553899bccf759d304c981821c1d5996fc6e7a0ee322ebf9da18d9,291131,291131
v45,results/v45/real_fl_round_metrics.csv,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/real_fl_round_metrics.csv,29d63b8d325c8f8911e5587216ac6dc48b29f63f3cb2b818447246e60d0c0976,311394,311394
v45,results/v45/real_fl_round_node_events.csv.gz,6449830c-8745-43ec-8f71-79c3db9e7c91.zip,freshness_lease_v45_results-formal-20260918-213147/real_fl_round_node_events.csv,aca74f47b7e1e8c86320b141010f82949e587b50fb0e0e0cffcc76bc76e5b978,16828789,1418379
v48,results/v48/cifar10_v48_paired_effects.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_paired_effects.csv,664e703c1e39969443c69a980bce973f8b7786fa23d752058ffcfe13bd7e036b,11781,11781
v48,results/v48/cifar10_v48_paired_summary.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_paired_summary.csv,c8f2190a4f053685161ffa7f5210f113f51915babd37ba09425b11473b9a678d,5598,5598
v48,results/v48/cifar10_v48_round_runs.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_round_runs.csv,34f7a85a4c0ffbaa0fa2ccdbb2732856f7c28a9b9ca070a4e79eb90e83029e1a,482970,482970
v48,results/v48/cifar10_v48_round_summary.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_round_summary.csv,cae3538a400c07a3447e0ea1c653a88628f0050df399a88bb401db3d58d52eb0,85162,85162
v48,results/v48/cifar10_v48_runs.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_runs.csv,c4c28ca85058657a5f513545d469b684957b00af789a78239afc292e85007f9b,27354,27354
v48,results/v48/cifar10_v48_summary.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/cifar10_v48_summary.csv,c79bcf54d969ad27cdc48a5de47d6c8c209662623bd467075fcca7a87f991fcb,5866,5866
v48,results/v48/real_fl_configuration_metrics.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/real_fl_configuration_metrics.csv,bdd65e92d5598b79613477ddb373c9a54722672727030950bc7bffec6eff1d0b,11959,11959
v48,results/v48/real_fl_node_results.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/real_fl_node_results.csv,16efdce5384f0092c3f0e6d782086527fd5deeead2e16b0ed58cc7feb361d415,608005,608005
v48,results/v48/real_fl_round_metrics.csv,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/real_fl_round_metrics.csv,12d9e092fb10bfa933e50e327e7122e13f9ee12f6e5c92a7369bf84e3f689113,598766,598766
v48,results/v48/real_fl_round_node_events.csv.gz,c7d7689d-7c71-4f53-a6da-1b651d279a85.zip,cifar10_v48_results-formal10-20260919-203139/real_fl_round_node_events.csv,0812da11931f9f07afebb005ddb06615203968df5b75c48d3ebed4a3e6547552,33926560,3099204
v49,results/v49/post_promotion_v49_paired_effects.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_paired_effects.csv,ed152eb40f00616a17cc723ee627ef04adfe94e781e135186e0ab845882a49ad,11674,11674
v49,results/v49/post_promotion_v49_paired_summary.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_paired_summary.csv,5a90ae0529a91a6c9d6f5d9ac8045a213709fb738d084c790b5c4f874b45eb0e,5556,5556
v49,results/v49/post_promotion_v49_promotion_guard.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_promotion_guard.csv,b1b94e41b2137a9ce4564870e47e8e7b841e26a73e875d53d54d8db332617e83,6574,6574
v49,results/v49/post_promotion_v49_round_runs.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_round_runs.csv,ae709124fd0e039d8c4734de251df794ac08e3fca5339ebf1e6d8e397a4b1e19,483075,483075
v49,results/v49/post_promotion_v49_round_summary.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_round_summary.csv,feb4950a7e8ebacc4e6fc520238576bd02d8133e143beab41fcf2b7c81800151,82844,82844
v49,results/v49/post_promotion_v49_runs.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_runs.csv,67a2c3553e29bb779f6fecf2aa2425634371a46bc0b0972d67941ea4dbd756dd,26547,26547
v49,results/v49/post_promotion_v49_summary.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/post_promotion_v49_summary.csv,4afb2f6a659147bd368b7ea82adbdb5b235089b815a9fc6e6bc7346e22561061,5720,5720
v49,results/v49/real_fl_configuration_metrics.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/real_fl_configuration_metrics.csv,b79ab6bf7641d655fc5d3371015e80fb5224237d71473ebc9035ecd42c06f050,11953,11953
v49,results/v49/real_fl_node_results.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/real_fl_node_results.csv,ade36fecb6663e32cef2d8668e6921ebc56d5ed6468022e32312e19370e2f805,607894,607894
v49,results/v49/real_fl_round_metrics.csv,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/real_fl_round_metrics.csv,1aa4d0dc7139f33e428b7059c7ffa06fd5c375569e511c846128ab146ccbb133,598867,598867
v49,results/v49/real_fl_round_node_events.csv.gz,2ee4f8eb-c51f-4b6b-98ce-ee1eaa52313b.zip,post_promotion_v49_results-formal-20260924-111731/real_fl_round_node_events.csv,50f29c2733fc8b0ee108c4f4ee7897c1a4b380c8860217179ed812f57c23538b,33911586,3096556
v50,results/v50/real_fl_configuration_metrics.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/real_fl_configuration_metrics.csv,fcac82cc2805f4bac921e835f91c303cbb6b6ffa97dbd482f0c1f5386e0dcaa9,4342,4342
v50,results/v50/real_fl_node_results.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/real_fl_node_results.csv,d9c9450db832b5ee2a02b2ed33ff4fbf7bf1a1b6d1574790d42a6e802e8d2ff0,203046,203046
v50,results/v50/real_fl_round_metrics.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/real_fl_round_metrics.csv,4da0c903d54fb322662830edf3fb9e8659c056ce0a815e67540909ecb976d8aa,204783,204783
v50,results/v50/real_fl_round_node_events.csv.gz,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/real_fl_round_node_events.csv,3ecb8e70173a88554d057b0821456668c40ec6c7fd123cc8d228ef6dcda745cc,11317633,952381
v50,results/v50/weight_matched_v50_paired_runs.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/weight_matched_v50_paired_runs.csv,716f2c812fef69b5392dece816ac3b804e355d3522a6df226cf3fe6ef7784466,5879,5879
v50,results/v50/weight_matched_v50_paired_summary.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/weight_matched_v50_paired_summary.csv,0394638f8e54ed40b0049f1a0dbeef5dbf22b765a631a817c7e1c91c5457ed20,1809,1809
v50,results/v50/weight_matched_v50_promotion_guard.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/weight_matched_v50_promotion_guard.csv,e2b7d32321966a81140c42251eeb0d9f324884b487cf98d01783b12fe8d3a514,2374,2374
v50,results/v50/weight_matched_v50_runs.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/weight_matched_v50_runs.csv,5153978cf7cd83f4643513b9dd11d49d71de8c35bd2edabcdd7e0720f6f56248,9498,9498
v50,results/v50/weight_matched_v50_summary.csv,b3adf577-d3c9-4e85-b9c3-71c56b64f6d6.zip,weight_matched_v50_results-formal-20260924-154409/weight_matched_v50_summary.csv,e853a43932e14340c7cdb2a1e2f6c1474f1e3fe65d8c860788573b609395cc49,3072,3072
v51,results/v51/q3_access_v51_access_runs.csv,q3_access_v51_results-formal-20260924-174512.zip,q3_access_v51_results-formal-20260924-174512/q3_access_v51_access_runs.csv,f2d9f2237878a6c3fdcf1bd0d723905fe023acf56b0fb009f87ad20cc0df60fc,25234,25234
