"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","rffl_reputation_fade","rffl_reputation_threshold_scale"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","192.9974692","8326863","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","163.2168259","8331007","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","167.4678601","8408759","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","162.1454595","8425167","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","162.5982842","8343247","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","0","50","198.0917972","8326815","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","1","50","163.3065304","8449719","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","2","50","167.304935","8433359","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","3","50","167.8280894","8433359","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","4","50","162.0365989","8318647","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","189.0325335","8326863","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","167.6655153","8310455","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","162.3952896","8355583","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","162.7996779","8417047","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","162.8332013","8347367","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","0","50","198.9527383","8298191","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","1","50","161.436196","8314575","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","2","50","167.2945367","8326839","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","3","50","162.2096918","8429215","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","4","50","166.999759","8335079","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","198.7480016","8314575","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","157.6153023","8433407","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","162.3971262","8355583","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","162.3349954","8433407","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","162.9124635","8326887","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","benign_concept_drift","0.5","0","50","193.2030966","8412927","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","benign_concept_drift","0.5","1","50","162.7585493","8330959","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","benign_concept_drift","0.5","2","50","168.3873163","8330983","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","benign_concept_drift","0.5","3","50","161.9379302","8335055","5","0.95","0.333333333333333"
"fashion_mnist","20","2","0.1","mixed_maturity","access_no_limited","dirichlet_lcb","benign_concept_drift","0.5","4","50","162.270548","8318719","5","0.95","0.333333333333333"
