dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,formal10,0.1,18,1.0,0.0,1.0,2.469156503677368,9.85157827536265,98,98,0.06524890506446224,0,0,122920000,66.35465474000002,217.2231663,8421095,5,0.358,0.041666666666666664,50,5.0,1.0,0.044179222921822296,0.06659079538272827,0.06759259259259258,0.07944444444444444,-0.03777777777777778,2.0,2.0,2.0,0.06434340883372812,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,formal10,0.1,18,1.0,0.0,1.0,3.4001593589782715,14.501785516738892,98,98,0.01517637407711233,0,0,122920000,62.89560070000002,191.0589728,8298143,5,0.3495,0.165,50,5.0,1.0,0.010101010101010095,0.015505568901506814,0.07468750000000002,0.15777777777777777,0.007222222222222241,6.0,14.0,14.0,0.01495464574650644,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,formal10,0.1,18,1.0,0.0,1.0,2.717737317085266,16.139153334829544,98,98,0.06885932701295236,0,0,122920000,64.57452329,185.8682915,8433359,5,0.3525,0.1738888888888889,50,5.0,1.0,0.04668201800293072,0.0702698864266789,0.12403935185185185,0.08555555555555555,0.08833333333333335,2.0,6.0,33.0,0.06790736682358461,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,formal10,0.1,18,1.0,0.0,1.0,2.996016263961792,14.661613623301188,98,98,0.0813305706323657,0,0,122920000,64.40249485999999,191.7385692,8412879,5,0.3375,0.10166666666666667,50,5.0,1.0,0.055375555391386014,0.08297383432227555,0.05688078703703703,0.04055555555555555,0.061111111111111116,7.0,19.0,nan,0.0802210529666426,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,formal10,0.1,18,1.0,0.0,1.0,3.255149006843567,11.41776700814565,98,98,0.09773809503757075,0,0,122920000,64.32595366,186.8696904,8408759,5,0.3245,0.2288888888888889,50,5.0,1.0,0.06692841977231749,0.09967689934375012,0.07451967592592591,0.014444444444444444,0.21444444444444444,12.0,12.0,nan,0.09642823932966217,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,5,formal10,0.1,18,1.0,0.0,1.0,2.7863861322402954,11.254159397549099,98,98,0.08544048927405871,0,0,122920000,69.58934481,165.4011075,8326863,5,0.354,0.13166666666666665,50,5.0,1.0,0.058257050637599866,0.08715891441320386,0.11110532407407403,0.39666666666666667,-0.265,4.0,4.0,8.0,0.08428004753544756,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,6,formal10,0.1,18,1.0,0.0,1.0,3.6084353923797607,3.1392167011896768,98,98,0.07737411841889441,0,0,122920000,68.98199927999998,134.0899458,8326839,5,0.3715,0.02388888888888889,50,5.0,1.0,0.05260941874907898,0.07894431242244222,0.07624421296296297,0.23722222222222222,-0.21333333333333332,5.0,6.0,nan,0.07631409131618633,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,7,formal10,0.1,18,1.0,0.0,1.0,3.0963157415390015,6.059491448932224,98,98,0.07783440098155578,0,0,122920000,70.63564382,159.4415505,8314551,5,0.3625,0.016666666666666666,50,5.0,1.0,0.052930832973581955,0.07941313175655333,0.04745370370370369,0.03111111111111111,-0.014444444444444444,7.0,7.0,7.0,0.07676859268887494,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,8,formal10,0.1,18,1.0,0.0,1.0,3.100606322288513,6.506519966655308,98,98,0.07816779274000776,0,0,122920000,67.04684390000001,160.3956545,8318671,5,0.3505,0.08222222222222222,50,5.0,1.0,0.0531637037661134,0.07975270093938774,0.06498263888888889,0.06111111111111111,0.021111111111111115,6.0,39.0,nan,0.07709780089694725,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,9,formal10,0.1,18,1.0,0.0,1.0,2.8617942333221436,14.238546596633064,98,98,0.04680644942080825,0,0,122920000,66.18047995000002,190.1114129,8322767,5,0.3325,0.005,50,5.0,1.0,0.03149143346364508,0.047788447992641626,0.07260995370370371,0.05555555555555555,-0.050555555555555555,2.0,7.0,nan,0.04614425527771207,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal10,0.1,18,1.0,0.0,1.0,3.6344622373580933,9.761763506465488,98,98,0.06524890506446224,0,0,122920000,62.90806490999999,217.6165416,8322815,5,0.3345,0.47888888888888886,50,5.0,1.0,0.04417922292182229,0.06659079538272826,0.2085416666666667,0.11222222222222222,0.36666666666666664,2.0,2.0,2.0,0.06434340883372809,0.4897959183673469,0.5102040816326531,10,8,0,5
