"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","max_local_train_samples","validation_samples_per_class","test_samples_per_class","rffl_reputation_fade","rffl_reputation_threshold_scale"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","217.6165416","8322815","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","185.5822619","8437503","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","186.0085713","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","186.6161289","8429287","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","190.8868771","8416975","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","0","50","217.2231663","8421095","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","1","50","191.0589728","8298143","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","2","50","185.8682915","8433359","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","3","50","191.7385692","8412879","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","4","50","186.8696904","8408759","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","211.7504659","8318695","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","180.1575308","8330935","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","184.8458364","8347367","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","185.9648852","8396447","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","191.7341744","8343247","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","0","50","221.8936906","8339199","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","1","50","185.4405793","8318671","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","2","50","185.5403696","8322791","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","3","50","192.203179","8310455","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","4","50","190.8969891","8449743","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","215.8618414","8335031","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","185.7803631","8326887","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","190.6660097","8339175","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","185.821575","8220367","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","186.4237615","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","0","50","221.8603307","8204031","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","1","50","186.1456141","8298191","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","2","50","197.2656913","8318647","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","3","50","191.6261187","8351439","5","512","100","200","0.95","0.333333333333333"
