dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,repeat,method_variant,control_variant,sustained_target_share_reduction,limited_returned_update_rate_increase,full_weight_aggregated_update_rate_reduction,asr_auc_reduction,round_8_asr_reduction,final_backdoor_asr_reduction,final_accuracy_difference,runtime_overhead_seconds,asr_ge_10pct_delay,asr_ge_20pct_delay,asr_ge_30pct_delay
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,0,access_freshness_lease,access_full,0.020276591166271812,0.4666666666666667,0.4666666666666667,-0.00529040404040404,-0.12722222222222224,0.009444444444444443,-0.03149999999999997,5.285905800000023,-3.0,-32.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,1,access_freshness_lease,access_full,0.005045354253493464,0.4666666666666667,0.4666666666666667,-0.006976010101010101,0.04777777777777777,0.021666666666666667,0.03149999999999997,0.09759819999999308,3.0,3.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,2,access_freshness_lease,access_full,0.021292633176415457,0.4666666666666667,0.4666666666666667,0.016742424242424267,0.07333333333333333,-0.061111111111111116,0.0034999999999999476,-0.47110380000000873,-2.0,-5.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,3,access_freshness_lease,access_full,0.024718947033357114,0.4666666666666667,0.4666666666666667,-0.018844696969696977,-0.03333333333333334,-0.06444444444444444,-0.014499999999999957,1.0667435000000012,6.0,8.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,4,access_freshness_lease,access_full,0.029031760670337997,0.4666666666666667,0.4666666666666667,-0.010808080808080822,-0.12277777777777778,0.04722222222222222,0.0030000000000000027,4.7550224999999955,-2.0,-7.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,5,access_freshness_lease,access_full,0.02581995246455232,0.4666666666666667,0.4666666666666667,0.011433080808080823,-0.08000000000000002,0.07722222222222222,0.012499999999999956,0.7571291000000144,0.0,-4.0,-31.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,6,access_freshness_lease,access_full,0.023645908683813555,0.4666666666666667,0.4666666666666667,0.01101641414141414,-0.06666666666666668,-0.04,0.021499999999999964,-0.7276358999999957,0.0,-5.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,7,access_freshness_lease,access_full,0.02377140731112526,0.4666666666666667,0.4666666666666667,-0.00989267676767678,0.005555555555555564,0.0,-0.026500000000000024,-5.262211300000018,-20.0,nan,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,8,access_freshness_lease,access_full,0.023862199103052706,0.4666666666666667,0.4666666666666667,0.007411616161616161,-0.04833333333333333,0.028333333333333335,-0.034999999999999976,-1.263014599999991,4.0,-29.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,9,access_freshness_lease,access_full,0.0149157447222878,0.4666666666666667,0.4666666666666667,-0.0022537878787878968,-0.0005555555555555557,-0.0033333333333333335,0.02350000000000002,-0.4008704000000023,2.0,-8.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,access_freshness_lease,access_full,0.0202765911662718,0.4666666666666667,0.4666666666666667,0.02887626262626261,-0.25,0.1338888888888889,-0.01100000000000001,-0.26716010000001233,2.0,-2.0,-1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,access_freshness_lease,access_full,0.005045354253493469,0.4666666666666667,0.4666666666666667,0.02092803030303028,0.03555555555555556,0.04222222222222222,-0.025000000000000022,6.050916699999988,0.0,36.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,access_freshness_lease,access_full,0.021292633176415443,0.4666666666666667,0.4666666666666667,0.02662247474747481,-0.07,0.01777777777777778,0.023999999999999966,17.050655800000015,0.0,9.0,-3.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,access_freshness_lease,access_full,0.024718947033357155,0.4666666666666667,0.4666666666666667,0.08535353535353532,0.011111111111111113,-0.06999999999999998,-0.0005000000000000004,13.254218899999984,-1.0,6.0,0.0
