dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,round,independent_runs,accuracy_mean,accuracy_ci95,backdoor_asr_mean,backdoor_asr_ci95,target_effective_aggregation_share_mean,target_effective_aggregation_share_ci95,target_returned_updates_mean,target_returned_updates_ci95,target_aggregated_updates_mean,target_aggregated_updates_ci95,target_observed_node_rate_mean,target_observed_node_rate_ci95,target_limited_rate_mean,target_limited_rate_ci95,target_admitted_rate_mean,target_admitted_rate_ci95,target_rffl_removals_mean,target_rffl_removals_ci95,configured_access_lease_full_updates,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,10,0.1459,0.025922189122143023,0.28561111111111115,0.3105854977977058,0.04717186657794859,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,10,0.20739999999999997,0.015506551548361957,0.06861111111111111,0.0780344825811346,0.04717186657794859,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,10,0.22139999999999999,0.01658298186000037,0.1778888888888889,0.15437225243895156,0.0471718665779486,0.011456778870236174,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,10,0.24814999999999995,0.01672913273557184,0.09822222222222224,0.08460874168554962,0.0471718665779486,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,5,10,0.25234999999999996,0.01657976706127058,0.09394444444444446,0.08961407895824967,0.08968400000000001,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,6,10,0.2591,0.019131841191806997,0.05533333333333333,0.029781033047589632,0.08968400000000001,0.021302679858953216,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,7,10,0.26855,0.01294408401910012,0.10761111111111113,0.06617951051505282,0.089684,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,8,10,0.28604999999999997,0.011214168643063231,0.08505555555555555,0.041476879887869376,0.089684,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,9,10,0.28354999999999997,0.0237630909418271,0.13399999999999998,0.10000754416774207,0.089684,0.02130267985895321,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,10,10,0.28254999999999997,0.0134312902644104,0.06427777777777778,0.05322436770009031,0.04717186657794859,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,11,10,0.30810000000000004,0.012536106769914991,0.09016666666666667,0.06014385946054418,0.04717186657794859,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,12,10,0.30500000000000005,0.012986349678114968,0.06816666666666667,0.030539121697775767,0.04717186657794859,0.01145677887023617,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,13,10,0.3031,0.011250047189774891,0.07222222222222223,0.048416482167484384,0.0471718665779486,0.011456778870236174,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,14,10,0.30174999999999996,0.015676538771034646,0.12133333333333332,0.0484049544421027,0.04717186657794859,0.011456778870236174,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,15,10,0.30955,0.018029935017696893,0.07066666666666667,0.054027689700482134,0.08968400000000001,0.02130267985895322,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,2.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,16,10,0.31439999999999996,0.012390115613905487,0.06494444444444444,0.05314761909980966,0.089684,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,17,10,0.3133500000000001,0.016174423714007166,0.08344444444444446,0.04388685345423364,0.089684,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,18,10,0.31679999999999997,0.01487720709551692,0.08183333333333334,0.04742442177201752,0.089684,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,19,10,0.3216,0.013505539274340651,0.060333333333333315,0.03366088840561473,0.08968400000000001,0.021302679858953212,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,20,10,0.33035000000000003,0.009360657641825369,0.056055555555555546,0.021566303528545095,0.0471718665779486,0.011456778870236174,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,21,10,0.3221,0.013720645743702247,0.058333333333333334,0.028161760139503153,0.0471718665779486,0.011456778870236172,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,22,10,0.32039999999999996,0.017354512014703956,0.11361111111111111,0.043223831854809436,0.0471718665779486,0.011456778870236172,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,23,10,0.31785,0.017211607077138927,0.04788888888888889,0.0415231210472508,0.0471718665779486,0.011456778870236172,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,24,10,0.33660000000000007,0.012523627497451513,0.07733333333333334,0.04005425631988993,0.04717186657794859,0.011456778870236172,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
