dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,18,1.0,0.0,1.0,2.6452252864837646,10.086146460639107,90,90,0.06618207637057817,0,0,122920000,97.81585552,266.7774172,8355631,5,0.3425,0.03277777777777778,50,5.0,1.0,0.08461999999999997,0.06434340883372812,0.07436868686868686,0.1388888888888889,-0.10611111111111111,7.0,11.0,nan,0.06434340883372812,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,18,1.0,0.0,1.0,3.483852744102478,14.904417369100782,90,90,0.015405224380442008,0,0,122920000,93.26461258000002,229.9400043,8416975,5,0.3525,0.1,50,5.0,1.0,0.019999999999999987,0.014954645746506446,0.06375000000000001,0.041666666666666664,0.05833333333333334,9.0,14.0,nan,0.014954645746506446,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,18,1.0,0.0,1.0,3.3289711475372314,16.285161720381844,90,90,0.06984027560288136,0,0,122920000,96.34442589999999,230.1117674,8330935,5,0.3445,0.15555555555555556,50,5.0,1.0,0.0892,0.06790736682358463,0.11218434343434343,0.025,0.13055555555555556,7.0,7.0,9.0,0.06790736682358463,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,18,1.0,0.0,1.0,3.259812355041504,14.882387412918938,90,90,0.0824734447686039,0,0,122920000,99.89755761999997,231.585569,8351487,5,0.335,0.12166666666666667,50,5.0,1.0,0.10494,0.08022105296664259,0.06912247474747475,0.035,0.08666666666666667,12.0,14.0,nan,0.08022105296664259,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,18,1.0,0.0,1.0,3.7986291646957397,11.485470453898111,90,90,0.09908666297183767,0,0,122920000,99.33617478999997,235.7067685,8335055,5,0.37,0.11277777777777778,50,5.0,1.0,0.12546000000000002,0.09642823932966216,0.09159722222222223,0.13333333333333333,-0.02055555555555555,7.0,15.0,46.0,0.09642823932966216,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,5,formal,0.1,18,1.0,0.0,1.0,3.2489811182022095,11.439387692345512,90,90,0.0866356703718527,0,0,122920000,99.7249991,210.161987,8416999,5,0.348,0.10277777777777777,50,5.0,1.0,0.1101,0.08428004753544757,0.09696969696969697,0.19111111111111112,-0.08833333333333335,6.0,9.0,9.0,0.08428004753544757,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,6,formal,0.1,18,1.0,0.0,1.0,3.3807027339935303,3.5064914226531982,90,90,0.07846614435083887,0,0,122920000,99.96937164999999,178.5114476,8326863,5,0.3645,0.08444444444444445,50,5.0,1.0,0.09996000000000003,0.07631409131618634,0.058440656565656564,0.12666666666666668,-0.04222222222222223,7.0,7.0,nan,0.07631409131618634,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,7,formal,0.1,18,1.0,0.0,1.0,4.286237835884094,6.877065764533149,90,90,0.07893236738391515,0,0,122920000,96.63041923999998,200.181549,8302287,5,0.313,0.0005555555555555556,50,5.0,1.0,0.10054000000000003,0.07676859268887493,0.059375000000000004,0.075,-0.07444444444444444,7.0,7.0,nan,0.07676859268887493,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,8,formal,0.1,18,1.0,0.0,1.0,3.0620861053466797,6.616480350494385,90,90,0.07927005784261787,0,0,122920000,97.42412501999995,204.3984456,8404687,5,0.323,0.06888888888888889,50,5.0,1.0,0.10096000000000001,0.07709780089694725,0.06575757575757575,0.05277777777777778,0.01611111111111111,10.0,10.0,nan,0.07709780089694725,0.4666666666666667,0.5333333333333333,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,9,formal,0.1,18,1.0,0.0,1.0,2.9838205575942993,14.69965292347802,90,90,0.047489262012309866,0,0,122920000,97.69501235000003,230.4373355,8445647,5,0.3425,0.006111111111111111,50,5.0,1.0,0.06106,0.04614425527771207,0.07469696969696972,0.03111111111111111,-0.024999999999999998,11.0,39.0,nan,0.04614425527771207,0.4666666666666667,0.5333333333333333,10,8,0,5
