dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,repeat,method_variant,control_variant,nominal_matched_weight,lease_aggregated_target_updates,matched_aggregated_target_updates,lease_actual_target_weight_mass,matched_actual_target_weight_mass,target_aggregation_mass_difference,asr_auc_reduction,final_asr_reduction,final_accuracy_difference,sustained_target_share_reduction
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,0,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.013529040404040397,0.03222222222222222,0.014000000000000012,0.0018386738876982056
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,1,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,0.005448232323232299,0.06611111111111109,0.011499999999999955,0.0004505852286761716
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,2,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,0.008295454545454536,-0.09111111111111111,-0.019500000000000017,0.0019329119457330568
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,3,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.017626262626262636,-0.09944444444444445,0.014500000000000013,0.002252391801961448
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,4,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.007765151515151517,-0.05500000000000001,-0.009500000000000008,0.002658423642175445
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,5,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.01274621212121213,-0.06999999999999999,0.033999999999999975,0.0023556228364051135
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,6,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,0.01610479797979799,0.04388888888888888,0.024499999999999966,0.002152053034652532
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,7,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.006092171717171732,0.0044444444444444444,-0.020500000000000018,0.0021637778390214135
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,8,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.0045328282828282634,-0.034999999999999996,-0.018000000000000016,0.00217225065938266
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,9,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.0010416666666667185,0.005,0.0,0.001345009955523141
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,-0.006073232323232314,0.15055555555555555,-0.033999999999999975,0.0018386738876982195
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,access_freshness_lease,access_weight_matched,0.7666666666666667,90,90,69.0,68.99999999999994,5.684341886080802e-14,0.013415404040404033,0.002777777777777768,-0.028000000000000025,0.0004505852286761751
