dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,attack_start_round,target_first_full_access_round_max,target_full_access_before_attack_rate,progressive_clean_full_weight_before_attack_verified
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,0,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,1,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,2,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,3,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,4,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,5,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,6,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,7,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,8,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,9,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,6,5,1.0,1
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,6,5,1.0,1
