dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,legitimate_newcomer_case,newcomer_count,incumbent_count,newcomer_initial_training_eligible_rate,newcomer_initial_limited_rate,newcomer_completed_tasks_mean,newcomer_onboarding_seconds_mean,incumbent_initial_training_eligible_rate,newcomer_full_access_before_attack_rate,newcomer_first_full_access_round_max
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,0,0,2,18,1.0,1.0,9.0,3.529417037963867,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,1,0,2,18,1.0,1.0,9.0,3.0549017190933228,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,2,0,2,18,1.0,1.0,9.0,3.4490307569503784,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,3,0,2,18,1.0,1.0,9.0,2.9569385051727295,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,4,0,2,18,1.0,1.0,9.0,3.221436858177185,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,5,0,2,18,1.0,1.0,9.0,3.0608577728271484,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,6,0,2,18,1.0,1.0,9.0,2.9018741846084595,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,7,0,2,18,1.0,1.0,9.0,3.689980387687683,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,8,0,2,18,1.0,1.0,9.0,3.108605980873108,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,9,0,2,18,1.0,1.0,9.0,2.88831889629364,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,0,1,2,18,1.0,1.0,9.0,2.8963245153427124,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,1,1,2,18,1.0,1.0,9.0,2.4358924627304077,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,2,1,2,18,1.0,1.0,9.0,2.7378525733947754,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,3,1,2,18,1.0,1.0,9.0,3.644047498703003,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,4,1,2,18,1.0,1.0,9.0,2.965664863586426,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,5,1,2,18,1.0,1.0,9.0,3.381355047225952,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,6,1,2,18,1.0,1.0,9.0,4.110446453094482,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,7,1,2,18,1.0,1.0,9.0,3.6797159910202026,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,8,1,2,18,1.0,1.0,9.0,2.763373613357544,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,9,1,2,18,1.0,1.0,9.0,3.0395684242248535,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,0,0,2,18,1.0,1.0,9.0,3.3287911415100098,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,1,0,2,18,1.0,1.0,9.0,3.0692769289016724,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,2,0,2,18,1.0,1.0,9.0,2.352498769760132,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,3,0,2,18,1.0,1.0,9.0,3.215283989906311,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,4,0,2,18,1.0,1.0,9.0,3.100270986557007,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,5,0,2,18,1.0,1.0,9.0,3.0952372550964355,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,6,0,2,18,1.0,1.0,9.0,3.998204231262207,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,7,0,2,18,1.0,1.0,9.0,3.1453016996383667,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,8,0,2,18,1.0,1.0,9.0,3.2362353801727295,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,9,0,2,18,1.0,1.0,9.0,2.8685975074768066,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,0,1,2,18,1.0,1.0,9.0,3.208102226257324,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,1,1,2,18,1.0,1.0,9.0,2.524315357208252,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,2,1,2,18,1.0,1.0,9.0,2.4501235485076904,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,3,1,2,18,1.0,1.0,9.0,2.9274433851242065,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,4,1,2,18,1.0,1.0,9.0,2.9143766164779663,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,5,1,2,18,1.0,1.0,9.0,2.8850382566452026,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,6,1,2,18,1.0,1.0,9.0,3.345191240310669,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,7,1,2,18,1.0,1.0,9.0,3.0876461267471313,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,8,1,2,18,1.0,1.0,9.0,3.501432180404663,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,9,1,2,18,1.0,1.0,9.0,2.6747430562973022,1.0,1.0,5
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,0,0,2,18,1.0,0.0,9.0,2.4721142053604126,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,1,0,2,18,1.0,0.0,9.0,3.4426757097244263,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,2,0,2,18,1.0,0.0,9.0,2.7481682300567627,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,3,0,2,18,1.0,0.0,9.0,2.838155508041382,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,4,0,2,18,1.0,0.0,9.0,3.0386898517608643,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,5,0,2,18,1.0,0.0,9.0,2.923971176147461,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,6,0,2,18,1.0,0.0,9.0,2.9828180074691772,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,7,0,2,18,1.0,0.0,9.0,3.6387473344802856,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,8,0,2,18,1.0,0.0,9.0,3.45536732673645,1.0,1.0,1
