dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,independent_runs,legitimate_newcomer_case,newcomer_initial_training_eligible_rate_mean,newcomer_initial_training_eligible_rate_ci95_half_width,newcomer_initial_limited_rate_mean,newcomer_initial_limited_rate_ci95_half_width,newcomer_completed_tasks_mean_mean,newcomer_completed_tasks_mean_ci95_half_width,newcomer_onboarding_seconds_mean_mean,newcomer_onboarding_seconds_mean_ci95_half_width,incumbent_initial_training_eligible_rate_mean,incumbent_initial_training_eligible_rate_ci95_half_width,newcomer_full_access_before_attack_rate_mean,newcomer_full_access_before_attack_rate_ci95_half_width
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,10,1,1.0,0.0,1.0,0.0,9.0,0.0,2.811554455757141,0.17119976832413303,1.0,0.0,1.0,0.0
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,0,1.0,0.0,1.0,0.0,9.0,0.0,2.7149023056030273,0.19358986224678937,1.0,0.0,1.0,0.0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,10,1,1.0,0.0,1.0,0.0,9.0,0.0,2.7258052825927734,0.18228938723364643,1.0,0.0,1.0,0.0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,0,1.0,0.0,1.0,0.0,9.0,0.0,2.734229850769043,0.13684639537528887,1.0,0.0,1.0,0.0
cifar10,10,1,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.5,10,1,1.0,0.0,0.0,0.0,9.0,0.0,2.7546215534210203,0.2341004841606356,1.0,0.0,1.0,0.0
cifar10,10,1,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,0,1.0,0.0,0.0,0.0,9.0,0.0,2.8499704599380493,0.18594452709951204,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,10,1,1.0,0.0,1.0,0.0,9.0,0.0,3.165424144268036,0.3723298374067364,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,10,1,1.0,0.0,1.0,0.0,9.0,0.0,3.2181480169296264,0.2912586521705182,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,10,0,1.0,0.0,1.0,0.0,9.0,0.0,3.186136209964752,0.19993342005851164,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,10,0,1.0,0.0,1.0,0.0,9.0,0.0,2.9546801090240478,0.25701814472708434,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.1,10,1,1.0,0.0,1.0,0.0,9.0,0.0,2.9518411993980407,0.2453430859761698,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,10,1,1.0,0.0,1.0,0.0,9.0,0.0,3.077845644950867,0.23811171935662673,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,10,0,1.0,0.0,1.0,0.0,9.0,0.0,3.140969789028168,0.29101983262620684,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,10,0,1.0,0.0,1.0,0.0,9.0,0.0,3.14634393453598,0.24656228846629763,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,10,1,1.0,0.0,0.0,0.0,9.0,0.0,2.8193980932235716,0.23959040602407009,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,10,1,1.0,0.0,0.0,0.0,9.0,0.0,2.916085124015808,0.21646858316678175,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,10,0,1.0,0.0,0.0,0.0,9.0,0.0,3.0480230331420897,0.2576789647418893,1.0,0.0,1.0,0.0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,10,0,1.0,0.0,0.0,0.0,9.0,0.0,3.1737560033798218,0.23942646971481452,1.0,0.0,1.0,0.0
