dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,repeat,method_variant,control_variant,sustained_target_share_reduction,limited_returned_update_rate_increase,full_weight_aggregated_update_rate_reduction,asr_auc_reduction,round_8_asr_reduction,final_backdoor_asr_reduction,final_accuracy_difference,runtime_overhead_seconds,asr_ge_10pct_delay,asr_ge_20pct_delay,asr_ge_30pct_delay
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,0,access_freshness_lease,access_full,0.044606435123863586,0.4666666666666667,0.4666666666666667,0.01788510101010101,0.04555555555555556,-0.007777777777777786,-0.009500000000000008,-0.1242061000000092,-3.0,38.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,1,access_freshness_lease,access_full,0.011786526891090159,0.4666666666666667,0.4666666666666667,-0.0008712121212121199,0.1577777777777778,0.049999999999999996,0.026500000000000024,-0.43250900000001025,2.0,-4.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,2,access_freshness_lease,access_full,0.017296055433127226,0.4666666666666667,0.4666666666666667,-0.006306818181818191,0.018888888888888886,0.04055555555555551,0.003500000000000003,0.3702827000000042,-3.0,-3.0,-7.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,3,access_freshness_lease,access_full,0.047750084689534844,0.4666666666666667,0.4666666666666667,0.0009217171717171707,-0.10777777777777778,-0.12944444444444447,-0.038500000000000034,0.40946110000000147,2.0,8.0,-7.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,4,access_freshness_lease,access_full,0.010099459214854483,0.4666666666666667,0.4666666666666667,0.02282828282828283,0.06333333333333332,0.07388888888888889,0.0,-4.915527300000008,12.0,-8.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,5,access_freshness_lease,access_full,0.017833314651992054,0.4666666666666667,0.4666666666666667,-0.005751262626262639,-0.00722222222222222,0.016666666666666666,-0.016500000000000015,-5.120915699999998,-5.0,20.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,6,access_freshness_lease,access_full,0.02687206899134144,0.4666666666666667,0.4666666666666667,-0.010789141414141418,-0.27111111111111114,0.026111111111111113,0.0040000000000000036,1.2529439000000053,1.0,2.0,2.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,7,access_freshness_lease,access_full,0.014245137360045783,0.4666666666666667,0.4666666666666667,0.014539141414141407,0.07777777777777778,0.035,-0.013000000000000012,0.5786857000000083,0.0,-5.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,8,access_freshness_lease,access_full,0.0423105194940224,0.4666666666666667,0.4666666666666667,-0.01738005050505051,0.05,0.08222222222222222,-0.008000000000000007,-0.886288399999998,0.0,nan,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,9,access_freshness_lease,access_full,0.02011162540884351,0.4666666666666667,0.4666666666666667,-0.009248737373737381,-0.095,0.07555555555555556,0.004500000000000004,0.40152570000000765,2.0,22.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,access_freshness_lease,access_full,0.04460643512386353,0.4666666666666667,0.4666666666666667,0.11935606060606058,-0.00722222222222222,0.2227777777777778,-0.03949999999999998,-1.0767577000000017,5.0,5.0,5.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,access_freshness_lease,access_full,0.011786526891090159,0.4666666666666667,0.4666666666666667,0.025075757575757543,-0.13833333333333334,0.15833333333333333,0.0020000000000000018,-0.26558990000000904,1.0,6.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,access_freshness_lease,access_full,0.017296055433127226,0.4666666666666667,0.4666666666666667,0.01806818181818176,0.36277777777777775,0.1938888888888889,0.0020000000000000018,0.635417799999999,0.0,0.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,access_freshness_lease,access_full,0.047750084689534844,0.4666666666666667,0.4666666666666667,0.13118686868686863,0.29833333333333334,0.07444444444444442,-0.011999999999999955,0.03339390000000719,1.0,1.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,access_freshness_lease,access_full,0.01009945921485449,0.4666666666666667,0.4666666666666667,0.018989898989898973,0.04722222222222222,0.043333333333333335,0.026500000000000024,0.2127532999999886,0.0,0.0,-4.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,access_freshness_lease,access_full,0.017833314651992054,0.4666666666666667,0.4666666666666667,0.04502525252525255,0.18611111111111112,-0.04111111111111111,-0.026000000000000023,0.08592930000000365,-1.0,-2.0,-9.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,access_freshness_lease,access_full,0.02687206899134144,0.4666666666666667,0.4666666666666667,0.06116792929292936,0.13277777777777777,-0.05611111111111111,0.008999999999999952,-1.3785921000000059,-1.0,-1.0,-1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,access_freshness_lease,access_full,0.01424513736004579,0.4666666666666667,0.4666666666666667,0.04607323232323232,-0.07888888888888888,-0.031111111111111145,0.027500000000000024,0.24747090000001037,0.0,4.0,-8.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,access_freshness_lease,access_full,0.0423105194940224,0.4666666666666667,0.4666666666666667,0.07702020202020204,0.6255555555555555,-0.08277777777777773,-0.026500000000000024,4.712649400000004,0.0,0.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,access_freshness_lease,access_full,0.020111625408843523,0.4666666666666667,0.4666666666666667,0.058604797979797923,0.03666666666666666,0.0538888888888889,0.007000000000000006,0.8995558000000017,6.0,3.0,-7.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,0,access_freshness_lease,access_full,0.01962435133643803,0.4666666666666667,0.4666666666666667,-0.0014141414141414232,-0.13,-0.0022222222222222227,-0.03199999999999997,-16.50699610000001,1.0,8.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,1,access_freshness_lease,access_full,0.025964222833103276,0.4666666666666667,0.4666666666666667,0.004425505050505027,-0.2461111111111111,-0.03944444444444445,0.01150000000000001,-14.472507199999995,1.0,1.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,2,access_freshness_lease,access_full,0.028080236505678244,0.4666666666666667,0.4666666666666667,-0.006117424242424285,0.21833333333333335,0.032777777777777774,0.005500000000000005,-12.826749700000022,0.0,6.0,-13.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,3,access_freshness_lease,access_full,0.00703991564705805,0.4666666666666667,0.4666666666666667,-0.007304292929292938,-0.04055555555555556,0.02611111111111111,-0.05350000000000005,-7.066109699999998,0.0,0.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,4,access_freshness_lease,access_full,0.010517076064632917,0.4666666666666667,0.4666666666666667,0.0051010101010100645,0.29555555555555557,0.05388888888888889,0.0020000000000000018,-6.865739300000001,1.0,-1.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,5,access_freshness_lease,access_full,0.0034174572609932032,0.4666666666666667,0.4666666666666667,-0.006231060606060573,0.051666666666666666,0.04833333333333334,0.019000000000000017,3.2748789000000045,-8.0,-37.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,6,access_freshness_lease,access_full,0.03611541326984763,0.4666666666666667,0.4666666666666667,0.0279861111111111,-0.16166666666666665,-0.0022222222222222365,0.007500000000000007,4.916704699999997,-1.0,3.0,1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,7,access_freshness_lease,access_full,0.011724745744968144,0.4666666666666667,0.4666666666666667,0.00998106060606059,0.009444444444444445,0.03777777777777778,0.025500000000000023,4.773993200000007,1.0,1.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,8,access_freshness_lease,access_full,0.023901087614987562,0.4666666666666667,0.4666666666666667,-0.009337121212121227,0.021111111111111112,-0.005555555555555555,0.02100000000000002,11.548306799999978,2.0,-19.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,9,access_freshness_lease,access_full,0.024108267391639168,0.4666666666666667,0.4666666666666667,0.00023989898989901226,-0.09555555555555555,0.008333333333333331,-0.02200000000000002,-0.7107065000000148,3.0,1.0,24.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,0,access_freshness_lease,access_full,0.025125638913310502,0.4666666666666667,0.4666666666666667,0.0027967171717171724,0.0038888888888888888,-0.003333333333333333,-0.0010000000000000009,-0.5010500999999863,1.0,-3.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,1,access_freshness_lease,access_full,0.023290300973487693,0.4666666666666667,0.4666666666666667,-0.022531565656565666,0.4477777777777778,-0.07444444444444445,-0.03799999999999998,-0.41706740000000764,-2.0,-2.0,14.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,2,access_freshness_lease,access_full,0.025258025515359744,0.4666666666666667,0.4666666666666667,0.005991161616161644,0.17277777777777778,-0.043888888888888894,0.013500000000000012,6.386136399999998,1.0,3.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,3,access_freshness_lease,access_full,0.023810326980524987,0.4666666666666667,0.4666666666666667,0.000694444444444442,0.011666666666666665,-0.031111111111111117,-0.01599999999999996,-3.3497325999999816,-7.0,-9.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,4,access_freshness_lease,access_full,0.023355433881428328,0.4666666666666667,0.4666666666666667,0.0013131313131313355,-0.08777777777777777,0.07444444444444444,-0.01100000000000001,-1.9184068999999795,2.0,3.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,5,access_freshness_lease,access_full,0.02673322516702227,0.4666666666666667,0.4666666666666667,-0.0009974747474747053,-0.009999999999999998,-0.017222222222222222,-0.065,-4.78694010000001,-4.0,-7.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,6,access_freshness_lease,access_full,0.023424868170645055,0.4666666666666667,0.4666666666666667,0.016161616161616155,-0.017222222222222222,0.01722222222222222,-0.04350000000000004,-5.138533199999998,0.0,-4.0,-8.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,7,access_freshness_lease,access_full,0.02361126398862634,0.4666666666666667,0.4666666666666667,0.008794191919191938,-0.12777777777777777,-0.0811111111111111,-0.021999999999999964,-0.16937180000002172,-8.0,-10.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,8,access_freshness_lease,access_full,0.024125515215100604,0.4666666666666667,0.4666666666666667,-0.02161616161616159,-0.026666666666666665,0.06277777777777778,0.020500000000000018,0.7816890000000001,-4.0,8.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,9,access_freshness_lease,access_full,0.02525375746516087,0.4666666666666667,0.4666666666666667,-0.008800505050505059,0.015555555555555559,-0.24555555555555553,0.038000000000000034,0.49578460000000746,-11.0,-15.0,-35.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,0,access_freshness_lease,access_full,0.01962435133643805,0.4666666666666667,0.4666666666666667,0.009652777777777816,0.24055555555555558,0.11055555555555555,0.03450000000000003,18.717088200000006,3.0,1.0,-6.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,1,access_freshness_lease,access_full,0.02596422283310329,0.4666666666666667,0.4666666666666667,0.08374368686868694,-0.5911111111111111,-0.1661111111111111,0.01749999999999996,-6.551417100000009,-1.0,-1.0,-1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,2,access_freshness_lease,access_full,0.028080236505678244,0.4666666666666667,0.4666666666666667,0.08991161616161614,-0.09833333333333327,0.13,0.01649999999999996,-17.061886999999984,-1.0,-1.0,-2.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,3,access_freshness_lease,access_full,0.007039915647058043,0.4666666666666667,0.4666666666666667,0.0007765151515151392,-0.13,0.024444444444444442,0.016500000000000015,-7.344263999999981,-2.0,-19.0,-19.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,4,access_freshness_lease,access_full,0.010517076064632917,0.4666666666666667,0.4666666666666667,0.005662878787878786,0.006666666666666666,0.12611111111111112,0.02350000000000002,-7.036479200000002,1.0,1.0,-20.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,5,access_freshness_lease,access_full,0.0034174572609932015,0.4666666666666667,0.4666666666666667,0.01529671717171717,0.16,-0.07500000000000001,-0.0010000000000000009,-12.999571899999978,1.0,1.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,6,access_freshness_lease,access_full,0.03611541326984771,0.4666666666666667,0.4666666666666667,0.03023989898989904,0.6722222222222223,0.07666666666666677,-0.043999999999999984,-7.706881199999998,0.0,0.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,7,access_freshness_lease,access_full,0.011724745744968165,0.4666666666666667,0.4666666666666667,-0.003977272727272732,0.0022222222222222222,-0.05055555555555555,0.019500000000000017,-7.510614900000007,1.0,1.0,1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,8,access_freshness_lease,access_full,0.023901087614987535,0.4666666666666667,0.4666666666666667,0.05839015151515148,0.011666666666666665,0.06611111111111112,-0.0040000000000000036,-13.3100029,1.0,-3.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,9,access_freshness_lease,access_full,0.024108267391639154,0.4666666666666667,0.4666666666666667,0.061717171717171615,-0.5555555555555556,0.07666666666666666,-0.0025000000000000022,-7.468490799999984,2.0,2.0,2.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,0,access_freshness_lease,access_full,0.02512563891331046,0.4666666666666667,0.4666666666666667,0.0975820707070707,-0.08222222222222222,0.29777777777777775,-0.013499999999999956,0.9665711000000101,-1.0,-5.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,1,access_freshness_lease,access_full,0.02329030097348768,0.4666666666666667,0.4666666666666667,0.03878787878787887,0.004444444444444431,0.09666666666666668,0.018000000000000016,-0.5621696999999983,3.0,3.0,9.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,2,access_freshness_lease,access_full,0.025258025515359703,0.4666666666666667,0.4666666666666667,0.03646464646464653,-0.033888888888888885,0.15166666666666662,0.013500000000000012,0.5368650000000059,1.0,-4.0,-6.0
