dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,method_variant,control_variant,independent_pairs,sustained_target_share_reduction_mean,sustained_target_share_reduction_ci95,sustained_target_share_reduction_positive_pairs,sustained_target_share_reduction_negative_pairs,sustained_target_share_reduction_zero_pairs,sustained_target_share_reduction_paired_t_pvalue,limited_returned_update_rate_increase_mean,limited_returned_update_rate_increase_ci95,limited_returned_update_rate_increase_positive_pairs,limited_returned_update_rate_increase_negative_pairs,limited_returned_update_rate_increase_zero_pairs,limited_returned_update_rate_increase_paired_t_pvalue,full_weight_aggregated_update_rate_reduction_mean,full_weight_aggregated_update_rate_reduction_ci95,full_weight_aggregated_update_rate_reduction_positive_pairs,full_weight_aggregated_update_rate_reduction_negative_pairs,full_weight_aggregated_update_rate_reduction_zero_pairs,full_weight_aggregated_update_rate_reduction_paired_t_pvalue,asr_auc_reduction_mean,asr_auc_reduction_ci95,asr_auc_reduction_positive_pairs,asr_auc_reduction_negative_pairs,asr_auc_reduction_zero_pairs,asr_auc_reduction_paired_t_pvalue,round_8_asr_reduction_mean,round_8_asr_reduction_ci95,round_8_asr_reduction_positive_pairs,round_8_asr_reduction_negative_pairs,round_8_asr_reduction_zero_pairs,round_8_asr_reduction_paired_t_pvalue,final_backdoor_asr_reduction_mean,final_backdoor_asr_reduction_ci95,final_backdoor_asr_reduction_positive_pairs,final_backdoor_asr_reduction_negative_pairs,final_backdoor_asr_reduction_zero_pairs,final_backdoor_asr_reduction_paired_t_pvalue,final_accuracy_difference_mean,final_accuracy_difference_ci95,final_accuracy_difference_positive_pairs,final_accuracy_difference_negative_pairs,final_accuracy_difference_zero_pairs,final_accuracy_difference_paired_t_pvalue,runtime_overhead_seconds_mean,runtime_overhead_seconds_ci95,runtime_overhead_seconds_positive_pairs,runtime_overhead_seconds_negative_pairs,runtime_overhead_seconds_zero_pairs,runtime_overhead_seconds_paired_t_pvalue,asr_ge_10pct_delay_mean,asr_ge_10pct_delay_ci95,asr_ge_10pct_delay_positive_pairs,asr_ge_10pct_delay_negative_pairs,asr_ge_10pct_delay_zero_pairs,asr_ge_10pct_delay_paired_t_pvalue,asr_ge_20pct_delay_mean,asr_ge_20pct_delay_ci95,asr_ge_20pct_delay_positive_pairs,asr_ge_20pct_delay_negative_pairs,asr_ge_20pct_delay_zero_pairs,asr_ge_20pct_delay_paired_t_pvalue,asr_ge_30pct_delay_mean,asr_ge_30pct_delay_ci95,asr_ge_30pct_delay_positive_pairs,asr_ge_30pct_delay_negative_pairs,asr_ge_30pct_delay_zero_pairs,asr_ge_30pct_delay_paired_t_pvalue
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,access_full,10,0.02529112272587155,0.010259511809565898,10,0,0,0.0003444805049177204,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.000582702020202016,0.009619625061594373,4,6,0,0.8940246496581997,-0.006777777777777776,0.08716450349567703,6,4,0,0.8642652613511885,0.02627777777777777,0.0440776785138355,8,2,0,0.21040962243640582,-0.0047000000000000045,0.01217648689261394,4,5,1,0.4052648597502089,-0.8466547399999996,1.627368012637823,5,5,0,0.26941847518471873,0.8,3.317830505437367,5,3,2,0.5986970046727277,7.777777777777778,12.04859746821049,5,4,0,0.17491447968462176,-4.0,12.907958189248387,1,2,0,0.31400565942996467
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,rffl_reputation,10,0.02042396744600889,0.041234245466959,6,4,0,0.2915161670034804,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.003871212121212132,0.01393691085945599,6,4,0,0.5453866037608898,0.023444444444444452,0.1016488432786241,7,3,0,0.6144418938539791,0.010444444444444442,0.07581554645790795,7,3,0,0.7624141466680956,0.007400000000000001,0.014690287523781273,7,3,0,0.2839030451302267,-2.504597490000002,1.9533723991077987,4,6,0,0.017580519636873126,0.5,1.7923620639621405,5,4,1,0.543696044664076,9.88888888888889,11.37813356711141,6,2,1,0.07999657104186259,10.5,21.169847153584175,4,0,0,0.21257296315231972
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,access_full,10,0.025291122725871546,0.010259511809565889,10,0,0,0.00034448050491771857,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.06005681818181816,0.02817542172339555,10,0,0,0.0009445303027759614,0.1465,0.1649568046714274,7,3,0,0.07544391643252316,0.053555555555555544,0.07785119506335386,6,4,0,0.15408779664546285,-0.002999999999999997,0.01615327356881063,6,4,0,0.6842432024199205,0.41062306999999976,1.1918172825224977,7,3,0,0.45575326560315343,1.1,1.7343204914786239,4,2,4,0.18517125468591136,1.6,1.9430570813906982,5,2,3,0.09539285487233885,-2.4,3.1849230536826707,1,5,4,0.12245403133806798
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,rffl_reputation,10,0.020261601542737942,0.03729370336291997,7,3,0,0.250226167923109,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.0469147727272727,0.08101128543042849,6,4,0,0.22262840290627964,0.09205555555555557,0.12249180027147014,6,4,0,0.1233349517005169,0.18355555555555556,0.1349445595963237,8,2,0,0.01320267741946386,0.002050000000000002,0.020523839109459856,7,3,0,0.8262858685450266,-2.0777336000000006,2.0752328981100026,3,7,0,0.04977771188568639,1.3,1.721156578264484,5,2,3,0.12169537062119402,1.5,1.9150555529608302,5,2,3,0.11018045474682835,0.6,3.523934572442682,4,4,2,0.7090603127833032
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,access_freshness_lease,access_full,10,0.019049277366934625,0.007484203120349472,10,0,0,0.0002736000891405805,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.0017329545454545347,0.007970369196611026,5,5,0,0.6345995161129145,-0.007777777777777774,0.11970313183437083,5,5,0,0.8863838516103756,0.015777777777777773,0.020787958585611777,6,4,0,0.12011898397730979,-0.0015499999999999958,0.018503076631765904,7,3,0,0.85390534754138,-3.3934924900000056,6.827937433190861,4,6,0,0.2899791887548003,0.0,2.1592774315969074,6,2,2,1.0,-3.7,9.849263602093302,6,3,1,0.4174643500811263,4.0,46.4075222314025,2,1,0,0.7463404574259545
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,access_freshness_lease,rffl_reputation,10,0.04828243418950669,0.02418779906418281,9,1,0,0.0014559548336539735,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,-0.011827020202020208,0.00840136611455108,2,8,0,0.011103310663915688,-0.02138888888888889,0.05190704986301694,3,7,0,0.3755894520278545,0.02411111111111111,0.027815145283291615,8,2,0,0.08152447892119387,-0.0010999999999999955,0.015657076665162396,6,4,0,0.8772335636712332,-1.265212200000002,5.435501199795064,2,8,0,0.6112293981210961,-0.2,1.7457574910020466,4,4,2,0.8013417218378206,-0.125,3.4451916889284795,5,1,2,0.9340322789955963,1.0,1.241663998203764,3,0,2,0.08900934250008567
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,access_freshness_lease,access_full,10,0.024398835627066635,0.0008175187066693996,10,0,0,1.7330802197353268e-13,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,-0.0018194444444444332,0.008937120443442617,6,4,0,0.6560564887070917,0.03822222222222223,0.11712857190467348,5,5,0,0.4791968809302541,-0.03422222222222222,0.0647293235166219,3,7,0,0.2622558801682347,-0.012449999999999989,0.022520459731794524,3,7,0,0.24261877314545405,-0.8617492099999978,2.3712214968709295,3,7,0,0.43225246507904164,-3.2,3.1417844064037967,3,6,1,0.04668712530587362,-3.6,4.981313676288996,3,7,0,0.1365081830988941,-9.666666666666666,60.966900552373176,1,2,0,0.5655156441903552
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,10,access_freshness_lease,rffl_reputation,10,0.03269915963199972,0.014010114382457967,10,0,0,0.000507235814931082,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.0014848484848484882,0.010350936090539734,6,4,0,0.7529688990586071,0.07205555555555555,0.08169997497874606,6,4,0,0.07715779483766691,-0.0606111111111111,0.05624134367420302,2,8,0,0.03749237554031954,-0.006349999999999989,0.02094993805460599,3,7,0,0.5101968921650952,2.4827139100000024,3.1540426645122803,8,2,0,0.10866227079232368,-0.8,1.4621618283209243,1,4,5,0.247140923008748,-2.1,3.3289512782905883,2,7,1,0.18732880656887663,-3.75,5.257461657151006,0,3,1,0.10793008421069127
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,access_freshness_lease,access_full,10,0.019049277366934632,0.007484203120349481,10,0,0,0.000273600089140582,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.03514141414141414,0.025298924019350976,9,1,0,0.011885000173368368,-0.028166666666666645,0.2625386201779475,6,4,0,0.8136804534033394,0.0318888888888889,0.07047669941680577,7,3,0,0.3327632501974361,0.007650000000000001,0.01572253475582079,6,4,0,0.2996014054142176,-6.827252079999994,6.908633340949414,1,9,0,0.052224828641734146,0.5,1.0796387157984537,6,3,1,0.3221206347224893,-1.8,4.445712801427223,5,4,1,0.38359787832573317,-5.0,6.55624728753128,2,5,2,0.11668977377273491
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,access_freshness_lease,rffl_reputation,10,0.03845602571082705,0.034200270537482716,7,3,0,0.031521360135334804,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.041240530303030334,0.07823054019499487,6,4,0,0.26354380019732687,-0.09433333333333334,0.20005225134507398,3,7,0,0.31388216465611046,0.15822222222222226,0.17242125164929886,8,2,0,0.0677172912531113,0.00039999999999998923,0.026252937878123585,4,6,0,0.9732570004514955,-3.81656227,6.421768455096626,2,8,0,0.21170928164268993,0.1,1.408686111709351,4,3,3,0.8759659087784054,-0.1,1.3255031346719128,3,3,4,0.8682630388542248,0.3,1.4718515422287006,5,3,2,0.6556783080864614
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,access_freshness_lease,access_full,10,0.02439883562706661,0.0008175187066693947,10,0,0,1.73308021973525e-13,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.06731376262626258,0.016837896086449086,10,0,0,8.207337240873773e-06,-0.0010555555555555607,0.1098888971868232,5,5,0,0.9831378528028618,0.09361111111111112,0.15299436276176312,8,2,0,0.19967615724318352,0.014400000000000001,0.01633772439243089,7,3,0,0.07731478011921232,1.9868041500000018,3.318672320730368,7,3,0,0.20866397828766522,0.1,0.856438879421773,2,3,5,0.7976245209721027,-0.1,1.9792977472713973,3,3,4,0.9115162813505064,2.1,4.629292135119565,6,2,2,0.33159171503821555
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,access_freshness_lease,rffl_reputation,10,0.04110413665207838,0.010132765946148098,10,0,0,7.281366219800469e-06,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.09479229797979798,0.027971703419099367,10,0,0,3.106476250531112e-05,-0.016611111111111115,0.11411674456409962,3,7,0,0.7494739396927818,0.091,0.18923947902018723,6,4,0,0.30495139985346603,0.00030000000000000024,0.012179988600014593,4,5,1,0.9567836242195704,2.1248994000000025,3.6611808303749602,6,4,0,0.22169674092359457,-0.8,1.3404328443648983,1,5,4,0.20995373165963466,-1.2,2.257124548860663,2,3,5,0.2597860950420025,2.0,2.612114093781568,6,2,2,0.11730680301423826
