dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,9,1.0,0.0,1.0,2.764594554901123,16.13371131155226,45,45,0.16782109845849183,0,0,61460000,29.514093509999995,167.2958042,6246095,5,0.3285,0.08888888888888889,50,5.0,1.0,0.20825999999999995,0.16365356487613622,0.054109848484848476,0.0005555555555555556,0.08833333333333333,6.0,48.0,nan,0.16365356487613622,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,9,1.0,0.0,1.0,3.0785961151123047,19.722392108705307,45,45,0.037012966437469166,0,0,61460000,27.88657604,131.2138003,6254239,5,0.3365,0.0044444444444444444,50,5.0,1.0,0.047739999999999984,0.03595347310890989,0.056470959595959595,0.01611111111111111,-0.011666666666666665,10.0,40.0,40.0,0.03595347310890989,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,9,1.0,0.0,1.0,2.396293878555298,12.659747785992092,45,45,0.05566741920393761,0,0,61460000,28.449213230000005,105.4434548,6250143,5,0.3075,0.25333333333333335,50,5.0,1.0,0.07139999999999999,0.05410394456687282,0.10445075757575757,0.05388888888888889,0.19944444444444448,7.0,7.0,19.0,0.05410394456687282,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,9,1.0,0.0,1.0,2.8812003135681152,12.821780072318184,45,45,0.1839720204496274,0,0,61460000,29.867491629999993,110.9935719,6266551,5,0.2985,0.2827777777777778,50,5.0,1.0,0.22723999999999994,0.17948991531046563,0.08318181818181816,0.11444444444444445,0.16833333333333333,8.0,19.0,24.0,0.17948991531046563,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,9,1.0,0.0,1.0,3.139575242996216,12.790058851242065,45,45,0.031486873402335004,0,0,61460000,26.900754920000004,100.3887898,6250143,5,0.3505,0.011111111111111112,50,5.0,1.0,0.040679999999999994,0.0305805407851456,0.05644570707070707,0.0005555555555555556,0.010555555555555556,19.0,26.0,29.0,0.0305805407851456,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,5,formal,0.1,9,1.0,0.0,1.0,2.9551901817321777,9.523623175091213,45,45,0.0575396287030656,0,0,61460000,27.470520820000008,100.3343074,6254239,5,0.308,0.0033333333333333335,50,5.0,1.0,0.07376000000000002,0.05592668534800798,0.05943813131313132,0.049444444444444444,-0.04611111111111111,10.0,37.0,nan,0.05592668534800798,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,6,formal,0.1,9,1.0,0.0,1.0,2.9921133518218994,2.7980888419681125,45,45,0.09066246860703613,0,0,61460000,29.985589500000007,75.6687043,6262479,5,0.3525,0.0005555555555555556,50,5.0,1.0,0.11508000000000002,0.08820793100865862,0.11539772727272726,0.30944444444444447,-0.30888888888888894,7.0,8.0,8.0,0.08820793100865862,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,7,formal,0.1,9,1.0,0.0,1.0,2.6854560375213623,9.676742394765219,45,45,0.04521852319183685,0,0,61460000,27.54245047,100.1842855,6262503,5,0.3195,0.04111111111111111,50,5.0,1.0,0.05818,0.043934862639954116,0.09226010101010101,0.0038888888888888888,0.037222222222222226,6.0,6.0,7.0,0.043934862639954116,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,8,formal,0.1,9,1.0,0.0,1.0,2.6732969284057617,6.309004253811306,45,45,0.15660967608330204,0,0,61460000,30.69453868,110.6832007,6250119,5,0.326,0.028888888888888888,50,5.0,1.0,0.19498,0.15266948050597764,0.06876262626262628,0.006111111111111111,0.022777777777777775,11.0,11.0,31.0,0.15266948050597764,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,9,formal,0.1,9,1.0,0.0,1.0,2.5492279529571533,19.321517176098293,45,45,0.06559176196518252,0,0,61460000,27.809043619999994,131.5162697,6262455,5,0.352,0.007222222222222222,50,5.0,1.0,0.08387999999999998,0.06376837459115646,0.07180555555555558,0.09555555555555556,-0.08833333333333333,9.0,32.0,36.0,0.06376837459115646,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal,0.1,9,1.0,0.0,1.0,3.194793701171875,16.22673961851332,45,45,0.16782109845849183,0,0,61460000,27.29397330999999,161.478402,6274815,5,0.307,0.47833333333333333,50,5.0,1.0,0.20825999999999995,0.16365356487613622,0.367739898989899,0.05277777777777778,0.4255555555555556,12.0,12.0,12.0,0.16365356487613622,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,9,1.0,0.0,1.0,2.4497568607330322,19.362620274225872,45,45,0.037012966437469166,0,0,61460000,26.34955637,130.7828647,6258407,5,0.337,0.09111111111111111,50,5.0,1.0,0.04774,0.03595347310890989,0.093125,0.17833333333333334,-0.08722222222222223,8.0,13.0,23.0,0.03595347310890989,0.4666666666666667,0.5333333333333333,5,4,0,5
