"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","audit_valid","chain_valid","signatures_valid","event_count","checked_signatures","observed_head"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","1","1","1","5608","3584","c4e967826f690210d0e073d40bc854119110ca26e0b1c17e068bbdff50ebf3f9"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","1","1","1","1","5614","3587","bda6d5f93435af63a7296962a19ac7713a05ff503ffcf55dda367281d558be94"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","2","1","1","1","5622","3594","97f4ef3651a1e99d43e381e2df5f77278969ea1e4307d9c64447bced9f3d24b8"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","3","1","1","1","5623","3596","a191e52cdaa5ba42b04924f14e5162412d78a0ec5ad3e57f42d84bd34084a9a7"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","4","1","1","1","5613","3588","aafeafbcf9563775595d7b68b644e48b39d52a4ff6aa37123e879be0e2ec5b16"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","5","1","1","1","5610","3585","e722ac2aeedc759d6ecfc365f75e836bc75ea7bbc79dd8beb4de34fe48d7985f"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","6","1","1","1","5600","3580","ea978020f5502bb0c40aa77d429e59a73fc88aedf127f1c3b46f6d66a0240b4c"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","7","1","1","1","5607","3585","305baafef89e9b5b6f12629ae3931abaa77e0c409aa81759c0c6063f7c7daed5"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","8","1","1","1","5604","3582","04f39570a137dec30ac93d43c195caece21613c03761101dacfc8fef70b75d71"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","9","1","1","1","5614","3587","ef7b37a814d776409f2033995d8b1352a7569278b7db095deac3808e87a12c9d"
